database_name	schema_name	function_name	function_type	return_type	parameters	parameter_types	varargs	macro_definition	has_side_effects	internal	description	function_oid
system	main	-	scalar	INTERVAL	col0|col1	TIMESTAMP WITH TIME ZONE|TIMESTAMP WITH TIME ZONE			false	true		1891
system	main	-	scalar	SMALLINT	col0	SMALLINT			false	true		1891
system	main	-	scalar	SMALLINT	col0|col1	SMALLINT|SMALLINT			false	true		1891
system	main	-	scalar	INTEGER	col0	INTEGER			false	true		1891
system	main	-	scalar	INTEGER	col0|col1	INTEGER|INTEGER			false	true		1891
system	main	-	scalar	BIGINT	col0	BIGINT			false	true		1891
system	main	-	scalar	BIGINT	col0|col1	BIGINT|BIGINT			false	true		1891
system	main	-	scalar	HUGEINT	col0	HUGEINT			false	true		1891
system	main	-	scalar	HUGEINT	col0|col1	HUGEINT|HUGEINT			false	true		1891
system	main	-	scalar	FLOAT	col0	FLOAT			false	true		1891
system	main	-	scalar	FLOAT	col0|col1	FLOAT|FLOAT			false	true		1891
system	main	-	scalar	TINYINT	col0|col1	TINYINT|TINYINT			false	true		1891
system	main	-	scalar	DOUBLE	col0|col1	DOUBLE|DOUBLE			false	true		1891
system	main	-	scalar	DECIMAL	col0	DECIMAL			false	true		1891
system	main	-	scalar	DECIMAL	col0|col1	DECIMAL|DECIMAL			false	true		1891
system	main	-	scalar	UTINYINT	col0	UTINYINT			false	true		1891
system	main	-	scalar	UTINYINT	col0|col1	UTINYINT|UTINYINT			false	true		1891
system	main	-	scalar	USMALLINT	col0	USMALLINT			false	true		1891
system	main	-	scalar	USMALLINT	col0|col1	USMALLINT|USMALLINT			false	true		1891
system	main	-	scalar	UINTEGER	col0	UINTEGER			false	true		1891
system	main	-	scalar	UINTEGER	col0|col1	UINTEGER|UINTEGER			false	true		1891
system	main	-	scalar	UBIGINT	col0	UBIGINT			false	true		1891
system	main	-	scalar	UBIGINT	col0|col1	UBIGINT|UBIGINT			false	true		1891
system	main	-	scalar	UHUGEINT	col0	UHUGEINT			false	true		1891
system	main	-	scalar	UHUGEINT	col0|col1	UHUGEINT|UHUGEINT			false	true		1891
system	main	-	scalar	BIGNUM	col0	BIGNUM			false	true		1891
system	main	-	scalar	BIGNUM	col0|col1	BIGNUM|BIGNUM			false	true		1891
system	main	-	scalar	BIGINT	col0|col1	DATE|DATE			false	true		1891
system	main	-	scalar	DATE	col0|col1	DATE|INTEGER			false	true		1891
system	main	-	scalar	INTERVAL	col0|col1	TIMESTAMP|TIMESTAMP			false	true		1891
system	main	-	scalar	INTERVAL	col0|col1	INTERVAL|INTERVAL			false	true		1891
system	main	-	scalar	TIMESTAMP	col0|col1	DATE|INTERVAL			false	true		1891
system	main	-	scalar	TIME	col0|col1	TIME|INTERVAL			false	true		1891
system	main	-	scalar	TIMESTAMP	col0|col1	TIMESTAMP|INTERVAL			false	true		1891
system	main	-	scalar	TIME WITH TIME ZONE	col0|col1	TIME WITH TIME ZONE|INTERVAL			false	true		1891
system	main	-	scalar	INTERVAL	col0	INTERVAL			false	true		1891
system	main	-	scalar	TIMESTAMP WITH TIME ZONE	col0|col1	TIMESTAMP WITH TIME ZONE|INTERVAL			false	true		1891
system	main	-	scalar	DOUBLE	col0	DOUBLE			false	true		1891
system	main	->>	scalar	VARCHAR	col0|col1	VARCHAR|BIGINT			false	true		1958
system	main	->>	scalar	VARCHAR	col0|col1	VARCHAR|VARCHAR			false	true		1958
system	main	->>	scalar	VARCHAR[]	col0|col1	VARCHAR|VARCHAR[]			false	true		1958
system	main	->>	scalar	VARCHAR	col0|col1	JSON|BIGINT			false	true		1958
system	main	->>	scalar	VARCHAR	col0|col1	JSON|VARCHAR			false	true		1958
system	main	->>	scalar	VARCHAR[]	col0|col1	JSON|VARCHAR[]			false	true		1958
system	main	/	scalar	FLOAT	col0|col1	FLOAT|FLOAT			false	true		326
system	main	/	scalar	DOUBLE	col0|col1	DOUBLE|DOUBLE			false	true		326
system	main	/	scalar	INTERVAL	col0|col1	INTERVAL|DOUBLE			false	true		326
system	main	//	scalar	TINYINT	col0|col1	TINYINT|TINYINT			false	true		328
system	main	//	scalar	SMALLINT	col0|col1	SMALLINT|SMALLINT			false	true		328
system	main	//	scalar	INTEGER	col0|col1	INTEGER|INTEGER			false	true		328
system	main	//	scalar	BIGINT	col0|col1	BIGINT|BIGINT			false	true		328
system	main	//	scalar	HUGEINT	col0|col1	HUGEINT|HUGEINT			false	true		328
system	main	//	scalar	FLOAT	col0|col1	FLOAT|FLOAT			false	true		328
system	main	//	scalar	DOUBLE	col0|col1	DOUBLE|DOUBLE			false	true		328
system	main	//	scalar	UTINYINT	col0|col1	UTINYINT|UTINYINT			false	true		328
system	main	//	scalar	USMALLINT	col0|col1	USMALLINT|USMALLINT			false	true		328
system	main	//	scalar	UINTEGER	col0|col1	UINTEGER|UINTEGER			false	true		328
system	main	//	scalar	UBIGINT	col0|col1	UBIGINT|UBIGINT			false	true		328
system	main	//	scalar	UHUGEINT	col0|col1	UHUGEINT|UHUGEINT			false	true		328
system	main	<->	scalar	FLOAT	list1|list2	FLOAT[]|FLOAT[]			false	true	Calculates the Euclidean distance between two points with coordinates given in two inputs lists of equal length.	632
system	main	<->	scalar	DOUBLE	list1|list2	DOUBLE[]|DOUBLE[]			false	true	Calculates the Euclidean distance between two points with coordinates given in two inputs lists of equal length.	632
system	main	<<	scalar	TINYINT	input|col1	TINYINT|TINYINT			false	true	Bitwise shift left	634
system	main	<<	scalar	SMALLINT	input|col1	SMALLINT|SMALLINT			false	true	Bitwise shift left	634
system	main	<<	scalar	INTEGER	input|col1	INTEGER|INTEGER			false	true	Bitwise shift left	634
system	main	<<	scalar	BIGINT	input|col1	BIGINT|BIGINT			false	true	Bitwise shift left	634
system	main	<<	scalar	HUGEINT	input|col1	HUGEINT|HUGEINT			false	true	Bitwise shift left	634
system	main	<<	scalar	UTINYINT	input|col1	UTINYINT|UTINYINT			false	true	Bitwise shift left	634
system	main	<<	scalar	USMALLINT	input|col1	USMALLINT|USMALLINT			false	true	Bitwise shift left	634
system	main	<<	scalar	UINTEGER	input|col1	UINTEGER|UINTEGER			false	true	Bitwise shift left	634
system	main	<<	scalar	UBIGINT	input|col1	UBIGINT|UBIGINT			false	true	Bitwise shift left	634
system	main	<<	scalar	UHUGEINT	input|col1	UHUGEINT|UHUGEINT			false	true	Bitwise shift left	634
system	main	<<	scalar	BIT	input|col1	BIT|INTEGER			false	true	Bitwise shift left	634
system	main	<=>	scalar	FLOAT	list1|list2	FLOAT[]|FLOAT[]			false	true	Computes the cosine distance between two same-sized lists.	636
system	main	<=>	scalar	DOUBLE	list1|list2	DOUBLE[]|DOUBLE[]			false	true	Computes the cosine distance between two same-sized lists.	636
system	main	<@	scalar	BOOLEAN	list1|list2	T[]|T[]			false	true	Returns true if all elements of list2 are in list1. NULLs are ignored.	638
system	main	>>	scalar	TINYINT	input|col1	TINYINT|TINYINT			false	true	Bitwise shift right	640
system	main	>>	scalar	SMALLINT	input|col1	SMALLINT|SMALLINT			false	true	Bitwise shift right	640
system	main	>>	scalar	INTEGER	input|col1	INTEGER|INTEGER			false	true	Bitwise shift right	640
system	main	>>	scalar	BIGINT	input|col1	BIGINT|BIGINT			false	true	Bitwise shift right	640
system	main	>>	scalar	HUGEINT	input|col1	HUGEINT|HUGEINT			false	true	Bitwise shift right	640
system	main	>>	scalar	UTINYINT	input|col1	UTINYINT|UTINYINT			false	true	Bitwise shift right	640
system	main	>>	scalar	USMALLINT	input|col1	USMALLINT|USMALLINT			false	true	Bitwise shift right	640
system	main	>>	scalar	UINTEGER	input|col1	UINTEGER|UINTEGER			false	true	Bitwise shift right	640
system	main	>>	scalar	UBIGINT	input|col1	UBIGINT|UBIGINT			false	true	Bitwise shift right	640
system	main	>>	scalar	UHUGEINT	input|col1	UHUGEINT|UHUGEINT			false	true	Bitwise shift right	640
system	main	>>	scalar	BIT	input|col1	BIT|INTEGER			false	true	Bitwise shift right	640
system	main	@	scalar	TINYINT	x	TINYINT			false	true	Absolute value	642
system	main	@	scalar	SMALLINT	x	SMALLINT			false	true	Absolute value	642
system	main	@	scalar	INTEGER	x	INTEGER			false	true	Absolute value	642
system	main	@	scalar	BIGINT	x	BIGINT			false	true	Absolute value	642
system	main	@	scalar	HUGEINT	x	HUGEINT			false	true	Absolute value	642
system	main	@	scalar	FLOAT	x	FLOAT			false	true	Absolute value	642
system	main	@	scalar	DOUBLE	x	DOUBLE			false	true	Absolute value	642
system	main	@	scalar	DECIMAL	x	DECIMAL			false	true	Absolute value	642
system	main	@	scalar	UTINYINT	x	UTINYINT			false	true	Absolute value	642
system	main	@	scalar	USMALLINT	x	USMALLINT			false	true	Absolute value	642
system	main	@	scalar	UINTEGER	x	UINTEGER			false	true	Absolute value	642
system	main	@	scalar	UBIGINT	x	UBIGINT			false	true	Absolute value	642
system	main	@	scalar	UHUGEINT	x	UHUGEINT			false	true	Absolute value	642
system	main	@>	scalar	BOOLEAN	list1|list2	T[]|T[]			false	true	Returns true if all elements of list2 are in list1. NULLs are ignored.	644
system	main	^	scalar	DOUBLE	x|y	DOUBLE|DOUBLE			false	true	Computes x to the power of y	646
system	main	^@	scalar	BOOLEAN	string|search_string	VARCHAR|VARCHAR			false	true	Returns `true` if `string` begins with `search_string`.	648
system	main	__internal_compress_integral_ubigint	scalar	UBIGINT	col0|col1	HUGEINT|HUGEINT			false	true		330
system	main	__internal_compress_integral_ubigint	scalar	UBIGINT	col0|col1	UHUGEINT|UHUGEINT			false	true		330
system	main	__internal_compress_integral_uinteger	scalar	UINTEGER	col0|col1	BIGINT|BIGINT			false	true		332
system	main	__internal_compress_integral_uinteger	scalar	UINTEGER	col0|col1	HUGEINT|HUGEINT			false	true		332
system	main	__internal_compress_integral_uinteger	scalar	UINTEGER	col0|col1	UBIGINT|UBIGINT			false	true		332
system	main	__internal_compress_integral_uinteger	scalar	UINTEGER	col0|col1	UHUGEINT|UHUGEINT			false	true		332
system	main	__internal_compress_integral_usmallint	scalar	USMALLINT	col0|col1	INTEGER|INTEGER			false	true		334
system	main	__internal_compress_integral_usmallint	scalar	USMALLINT	col0|col1	BIGINT|BIGINT			false	true		334
system	main	__internal_compress_integral_usmallint	scalar	USMALLINT	col0|col1	HUGEINT|HUGEINT			false	true		334
system	main	__internal_compress_integral_usmallint	scalar	USMALLINT	col0|col1	UINTEGER|UINTEGER			false	true		334
system	main	__internal_compress_integral_usmallint	scalar	USMALLINT	col0|col1	UBIGINT|UBIGINT			false	true		334
system	main	__internal_compress_integral_usmallint	scalar	USMALLINT	col0|col1	UHUGEINT|UHUGEINT			false	true		334
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	SMALLINT|SMALLINT			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	INTEGER|INTEGER			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	BIGINT|BIGINT			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	HUGEINT|HUGEINT			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	USMALLINT|USMALLINT			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	UINTEGER|UINTEGER			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	UBIGINT|UBIGINT			false	true		336
system	main	__internal_compress_integral_utinyint	scalar	UTINYINT	col0|col1	UHUGEINT|UHUGEINT			false	true		336
