fqn	source	demand	corpusDefined	constraints	derived	stereotypes	taggedValues	defaults	escapes	file
meta::pure::executionPlan::PlatformImplementation	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::ResultType	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::SequenceExecutionNode	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::VariableInput	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::extension::ExecutionPlanExtension	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/extensions.pure
meta::pure::executionPlan::platformBinding::PlatformBinding	legend-engine	closure	true	2	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/platformBinding/platformBinding.pure
meta::pure::executionPlan::platformBinding::PlatformBindingConfig	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/platformBinding/platformBinding.pure
meta::pure::executionPlan::platformBinding::PlatformBindingExtension	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/platformBinding/platformBinding.pure
meta::pure::extension::Extension	legend-engine	java	true	0	5	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/extensions/extension.pure
meta::pure::extension::FeatureExtension	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/extensions/extension.pure
meta::pure::extension::ModuleExtension	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/extensions/extension.pure
meta::pure::extension::SerializerExtension	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/extensions/extension.pure
meta::pure::functions::collection::AggregateValue	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/corefunctions/collectionExtension.pure
meta::pure::functions::collection::List	legend-pure	java	false	0	1	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/anonymousCollections.pure
meta::pure::functions::collection::Map	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/anonymousCollections.pure
meta::pure::functions::collection::MapStats	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/collection/anonymous/map/getMapStats.pure
meta::pure::functions::collection::Pair	legend-pure	java	false	0	1	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/anonymousCollections.pure
meta::pure::functions::collection::TreeNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/anonymousCollections.pure
meta::pure::functions::collection::ValueHolder	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/anonymousCollections.pure
meta::pure::functions::date::DayOfWeek	legend-pure	java	false	enum						legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/date/_structures.pure
meta::pure::functions::date::Duration	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/date/_structures.pure
meta::pure::functions::date::DurationUnit	legend-pure	java	false	enum						legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/date/_structures.pure
meta::pure::functions::date::Month	legend-pure	java	false	enum						legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/date/_structures.pure
meta::pure::functions::date::Quarter	legend-pure	java	false	enum						legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/date/_structures.pure
meta::pure::functions::date::Time	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/date/_structures.pure
meta::pure::functions::lang::KeyValue	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/lang/creation/dynamicNew.pure
meta::pure::functions::math::mathUtility::RowMapper	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-standard/legend-engine-pure-functions-standard-pure/src/main/resources/core_functions_standard/math/aggregator/mathUtility.pure
meta::pure::functions::meta::SourceInformation	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/essential/meta/source/sourceInformation.pure
meta::pure::functions::relation::Frame	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/frame.pure
meta::pure::functions::relation::FrameIntValue	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/frame.pure
meta::pure::functions::relation::FrameIntervalValue	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/frame.pure
meta::pure::functions::relation::FrameNumericValue	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/frame.pure
meta::pure::functions::relation::FrameValue	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/frame.pure
meta::pure::functions::relation::JoinKind	legend-engine	java	false	enum						legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-relation/legend-engine-pure-functions-relation-pure/src/main/resources/core_functions_relation/relation/functions/transformation/join.pure
meta::pure::functions::relation::Rows	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-relation/legend-engine-pure-functions-relation-pure/src/main/resources/core_functions_relation/relation/functions/olap/frame/rows.pure
meta::pure::functions::relation::SortInfo	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/sort.pure
meta::pure::functions::relation::UnboundedFrameValue	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/frame.pure
meta::pure::functions::relation::_Range	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-relation/legend-engine-pure-functions-relation-pure/src/main/resources/core_functions_relation/relation/functions/olap/frame/range.pure
meta::pure::functions::relation::_RangeInterval	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-relation/legend-engine-pure-functions-relation-pure/src/main/resources/core_functions_relation/relation/functions/olap/frame/range.pure
meta::pure::functions::relation::_Window	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/functions/meta/type/relation/window/window.pure
meta::pure::functions::string::RegexpParameter	legend-engine	java	false	enum						legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-functions-unclassified/legend-engine-pure-functions-unclassified-pure/src/main/resources/core_functions_unclassified/string/regex/regexpParameter.pure
meta::pure::functions::test::TestedByResult	legend-engine	closure	true	0	3	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/corefunctions/testExtension.pure
meta::pure::graphFetch::GraphFetchTree	legend-pure	platform	false	0	2	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-graph/legend-pure-m2-dsl-graph-pure/src/main/resources/platform_dsl_graph/graph.pure
meta::pure::graphFetch::PropertyGraphFetchTree	legend-pure	platform	false	0	2	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-graph/legend-pure-m2-dsl-graph-pure/src/main/resources/platform_dsl_graph/graph.pure
meta::pure::graphFetch::RootGraphFetchTree	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-graph/legend-pure-m2-dsl-graph-pure/src/main/resources/platform_dsl_graph/graph.pure
meta::pure::graphFetch::SubTypeGraphFetchTree	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-graph/legend-pure-m2-dsl-graph-pure/src/main/resources/platform_dsl_graph/graph.pure
meta::pure::graphFetch::execution::AlloySerializationConfig	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/graphFetch/graphFetch.pure
meta::pure::graphFetch::executionPlan::LocalGraphFetchExecutionNode	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/graphFetch/graphFetchExecutionPlan.pure
meta::pure::graphFetch::executionPlan::StoreMappingCrossLocalGraphFetchExecutionNodeGenerationInput	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/graphFetch/graphFetchExecutionPlan.pure
meta::pure::graphFetch::executionPlan::StoreMappingLocalGraphFetchExecutionNodeGenerationInput	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/graphFetch/graphFetchExecutionPlan.pure
meta::pure::graphFetch::routing::ClusteredGraphFetchTree	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/metamodel/clustering.pure
meta::pure::graphFetch::routing::RoutedGraphFetchTree	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/store/metamodel.pure
meta::pure::graphFetch::routing::StoreMappingClusteredGraphFetchTree	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/store/metamodel.pure
meta::pure::lineage::scanColumns::ColumnWithContext	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-core-pure/src/main/resources/core_relational/relational/lineage/scanColumns/scanColumns.pure
meta::pure::lineage::scanProperties::PropertyPathNode	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/lineage/scanProperties.pure
meta::pure::lineage::scanProperties::Res	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/lineage/scanProperties.pure
meta::pure::lineage::scanProperties::propertyTree::PropertyPathTree	legend-engine	java	false	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/lineage/scanProperties.pure
